url,title,price,bike_year,mileage,localisation,brand,model,engine_size
https://www.leboncoin.fr/motos/1998964713.htm?ac=4051296304, z750,3800.0,2006,45678,Cabariot 17430,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1998799428.htm?ac=4051296304, z750,3200.0,2006,28000,Haguenau 67500,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1998725969.htm?ac=4051296304, z 750,3400.0,2006,38500,Lucinges 74380,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1998341532.htm?ac=4051296304, z750,3200.0,2006,26300,Dannemarie 68210,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1998083270.htm?ac=4051296304, z 750,3600.0,2006,26500,Tours 37000,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1997915680.htm?ac=4051296304, z750 excellent état,3900.0,2006,34500,Limoges 87000,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1997792093.htm?ac=4051296304, z750,3300.0,2006,29000,Saintes 17100,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1997712619.htm?ac=4051296304, z750,3600.0,2006,27000,Saint-Salvy-de-la-Balme 81490,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1962654311.htm?ac=4051296304,z 750 ,2900.0,2006,33000,Toul 54200,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1996271398.htm?ac=4051296304, z750,3100.0,2006,49000,Machilly 74140,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1996040263.htm?ac=4051296304, z750 ,3200.0,2006,25000,Thonon-les-Bains 74200,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1993208043.htm?ac=4051296304, versys 1000 se grand trer,17490.0,2021,750,Marsac-sur-l'Isle 24430,kawasaki,versys1000s,1043.0
https://www.leboncoin.fr/motos/1999236246.htm?ac=4051296304, versys 1000 s ,14590.0,2021,3500,Toulouse 31000,kawasaki,versys1000s,1043.0
https://www.leboncoin.fr/motos/1999122207.htm?ac=4051296304, versys 1000,13899.0,2021,520,Annezin 62232,kawasaki,versys1000s,1043.0
https://www.leboncoin.fr/motos/1997366222.htm?ac=4051296304,versys 1000 s  visible sens,14690.0,2021,643,Saint-Denis-lès-Sens 89100 Sainte-Colombe,kawasaki,versys1000s,1043.0
https://www.leboncoin.fr/motos/1985474404.htm?ac=4051296304, zzr 1400 performance sport,15000.0,2019,2600,Béziers 34500,kawasaki,zzr1400performancesport,1441.0
https://www.leboncoin.fr/motos/2000152910.htm?ac=4051296304, zr7 accidentée,620.0,2000,71253,Saint-Aubin-sur-Mer 14750,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1999820008.htm?ac=4051296304, 750 zr7,950.0,2000,54210,Pont-Audemer 27500,kawasaki,zr7,738.0
https://www.leboncoin.fr/motos/1998957204.htm?ac=4051296304, 750 zr7,1990.0,2000,60000,Laval 53000,kawasaki,zr7,738.0
