uniq_id,reference,brand,model,price,bike_year,bike_type,engine_size,mileage,source,scraped_date,url,age,code_annonce
motomag-8452146,8452146,bmw,f 700 gs 798cc,5690,2015,Trail,700,49200,motomag,2021-08-13 07:49:39.625490,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452146,6,Trail-42100BMW-F700GS798CC5690€2015-49200km11/08/2021
motomag-8452658,8452658,kawasaki,er-6,4790,2012,Roadster,650,24063,motomag,2021-08-13 07:49:41.742064,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452658,9,Roadster-30000KAWASAKI-ER-64790€2012-24063km11/08/2021
motomag-8452659,8452659,kawasaki,ninja 650,5990,2018,Sportive,649,17571,motomag,2021-08-13 07:49:43.941518,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452659,3,Sportive-30000KAWASAKI-NINJA6505990€2018-17571km11/08/2021
motomag-8454709,8454709,piaggio,mp3 300 lt abs,3999,2018,Scooter,300,27100,motomag,2021-08-13 07:49:45.944323,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454709,3,Scooter-75017PIAGGIO-MP3300LTABS3999€2018-27100km11/08/2021
motomag-8455488,8455488,suzuki,gsx-s 1000 abs,8290,2017,Roadster,1000,23613,motomag,2021-08-13 07:49:47.968459,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455488,4,Roadster-75015SUZUKI-GSX-S1000ABS8290€2017-23613km11/08/2021
motomag-8453963,8453963,honda,cmx 500 rebel,4690,2017,Custom,500,46111,motomag,2021-08-13 07:49:50.233703,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453963,4,Custom-75012HONDA-CMX500REBEL4690€2017-46111km11/08/2021
motomag-8453964,8453964,honda,gl 1800,19990,2019,Routière,1800,6958,motomag,2021-08-13 07:49:52.399689,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453964,2,Routière-75012HONDA-GL180019990€2019-6958km11/08/2021
motomag-8453453,8453453,kawasaki,zzr 1400 abs performance,15900,2016,Sportive,1400,5300,motomag,2021-08-13 07:49:54.280574,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453453,5,Sportive-62280KAWASAKI-ZZR1400ABS15900€2016-5300km11/08/2021
motomag-8455505,8455505,triumph,street triple 675,5990,2013,Roadster,675,16000,motomag,2021-08-13 07:49:56.417196,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455505,8,Roadster-94270TRIUMPH-STREETTRIPLE5990€2013-16000km11/08/2021
motomag-8454482,8454482,honda,transalp 700 abs,3990,2009,Trail,700,75900,motomag,2021-08-13 07:49:58.473126,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454482,12,Trail-34000HONDA-TRANSALP7003990€2009-75900km11/08/2021
motomag-8455506,8455506,suzuki,burgman 650,4990,2013,Scooter,650,26500,motomag,2021-08-13 07:50:00.656316,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455506,8,Scooter-94270SUZUKI-BURGMAN6504990€2013-26500km11/08/2021
motomag-8454483,8454483,honda,125 varadero,3390,2016,Trail,125,38010,motomag,2021-08-13 07:50:02.687551,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454483,5,Trail-34000HONDA-125VARADERO3390€2016-38010km11/08/2021
motomag-8454484,8454484,honda,transalp 650,2990,2005,Trail,650,36308,motomag,2021-08-13 07:50:04.929059,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454484,16,Trail-34000HONDA-TRANSALP6502990€2005-36308km11/08/2021
motomag-8454750,8454750,ktm,sx-f,2990,2014,Cross,250,70,motomag,2021-08-13 07:50:07.158747,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454750,7,Cross-06130KTM-SX-F2990€2014-70km11/08/2021
motomag-8452448,8452448,piaggio,mp3 400,2590,2009,Scooter,400,35150,motomag,2021-08-13 07:50:09.317574,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452448,12,Scooter-59240PIAGGIO-MP34002590€2009-35150km11/08/2021
motomag-8452449,8452449,yamaha,x-max 125,5000,2020,Scooter,125,6500,motomag,2021-08-13 07:50:11.117018,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452449,1,Scooter-59240YAMAHA-X-MAX1255000€2020-6500km11/08/2021
