url,title,price,bike_year,mileage,brand,model,engine_size
https://www.lacentrale.fr/moto-occasion-annonce-66101626581.html, r 1250 gs,19900,2019.0,17800,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108146966.html, r 1250 gs,20890,2019.0,4100,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108443910.html, r 1250 gs,19290,2019.0,34146,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108280089.html, r 1250 gs,21000,2019.0,8500,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108639229.html, r 1250 gs,18490,2019.0,36000,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108232345.html, r 1250 gs,18490,2019.0,36000,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69106360879.html, r 1250 gs,21500,2019.0,6500,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102009290.html, r 1250 gs,18350,2019.0,16300,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108763763.html, r 1250 gs,17990,2019.0,22200,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108112479.html, r 1250 gs,20990,2019.0,11060,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102046050.html, r 1250 gs,17990,2019.0,22506,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102065373.html, r 1250 gs,19900,2019.0,24564,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87101890509.html, r 1250 gs,19490,2019.0,6415,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108624640.html, r 1250 gs,18890,2019.0,28835,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108105118.html, r 1250 gs,21490,2019.0,2280,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102059301.html, r 1250 gs,19900,2019.0,20616,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108759723.html, r 1250 gs,19290,2019.0,12500,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-69108741242.html, r 1250 gs,18500,2019.0,10000,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102063907.html, r 1250 gs,21690,2019.0,16986,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102076036.html, r 1250 gs,22490,2019.0,7050,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102074514.html, street triple 675,8990,2017.0,11643,triumph,streettriples,765.0
https://www.lacentrale.fr/moto-occasion-annonce-66101552832.html, street triple 765,7600,2017.0,11750,triumph,streettriples,765.0
https://www.lacentrale.fr/moto-occasion-annonce-69108373228.html, street triple,6990,2017.0,30840,triumph,streettriples,765.0
https://www.lacentrale.fr/moto-occasion-annonce-69107254275.html, street triple,8990,2017.0,17850,triumph,streettriples,765.0
https://www.lacentrale.fr/moto-occasion-annonce-87102044304.html, mt09,6990,2016.0,49800,yamaha,mt09,847.0
https://www.lacentrale.fr/moto-occasion-annonce-69108565493.html, mt09,7490,2016.0,8056,yamaha,mt09,847.0
https://www.lacentrale.fr/moto-occasion-annonce-66101601310.html, mt09,8000,2016.0,5000,yamaha,mt09,847.0
https://www.lacentrale.fr/moto-occasion-annonce-69108760574.html, mt09,7850,2016.0,10500,yamaha,mt09,847.0
https://www.lacentrale.fr/moto-occasion-annonce-69108760027.html, mt09,7490,2016.0,29671,yamaha,mt09,847.0
https://www.lacentrale.fr/moto-occasion-annonce-87102067200.html, speed triple 1050,5990,2005.0,56105,triumph,speedtriple,1050.0
https://www.lacentrale.fr/moto-occasion-annonce-87102070431.html, r1200 rt,7290,2010.0,66777,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101628544.html, r1200 rt,7990,2010.0,59700,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101609039.html, r1200 rt,9400,2010.0,34600,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101614510.html, r1200 rt,7800,2010.0,49300,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101617131.html, r1200 rt,6800,2010.0,89400,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101629034.html, r1200 rt,7450,2010.0,54727,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101536061.html, r1200 rt,9900,2010.0,45500,bmw,r1200rt,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101763653.html, er6n 600,4590,2011.0,13613,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-87102065679.html, er6n 600,4500,2011.0,35950,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-66101578366.html, er6n 600,4100,2011.0,18700,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-66101607135.html, er6n 600,3900,2011.0,30500,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-66101620569.html, er6n 600,4500,2011.0,7199,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-66101621736.html, er6n 600,3800,2011.0,25000,kawasaki,er6n,649.0
https://www.lacentrale.fr/moto-occasion-annonce-87101995811.html, cb 1000,4590,2008.0,60320,honda,cb1000r,998.0
https://www.lacentrale.fr/moto-occasion-annonce-87101873489.html, k 1600,12990,2016.0,78640,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108502746.html, k 1600,14590,2016.0,42000,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-87102073260.html, k 1600,15990,2016.0,28949,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-66101606573.html, k 1600,15500,2016.0,6617,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108630274.html, k 1600,18990,2016.0,9704,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69107869620.html, k 1600,15900,2016.0,11901,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-87101237652.html, k 1600,15990,2016.0,29810,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108692353.html, k 1600,18990,2016.0,9704,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108636833.html, k 1600,13990,2016.0,47383,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108697129.html, k 1600,14290,2016.0,40500,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108568085.html, k 1600,16900,2016.0,18974,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-69108638156.html, k 1600,13400,2016.0,52643,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-87102011541.html, k 1600,13950,2016.0,40326,bmw,k1600gt,1649.0
https://www.lacentrale.fr/moto-occasion-annonce-87102071961.html, dl vstrom 650,3990,2006.0,37113,suzuki,vstrom650,645.0
https://www.lacentrale.fr/moto-occasion-annonce-69108626005.html, dl vstrom 650,3999,2006.0,46550,suzuki,vstrom650,645.0
https://www.lacentrale.fr/moto-occasion-annonce-87102076697.html, r1200 r,12590,2018.0,9887,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101625728.html, r1200 ninet,11190,2018.0,17900,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108764862.html, r1200 ninet,13490,2018.0,10048,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101570702.html, r1200 r,12950,2018.0,18000,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108352632.html, r1200 ninet,10990,2018.0,24500,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69107547909.html, r1200,15990,2018.0,2594,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108636842.html, r1200,14490,2018.0,3328,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69107674907.html, r1200 r,11900,2018.0,18900,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108762018.html, r1200 ninet,12990,2018.0,1336,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101959090.html, r1200 r,9490,2018.0,28117,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108625994.html, r1200 ninet,10490,2018.0,5200,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101985523.html, r1200 r,9490,2018.0,26840,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69107631231.html, r1200 r,12500,2018.0,27675,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87102045838.html, r1200 r,12590,2018.0,31400,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101984960.html, r1200 r,9990,2018.0,18276,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69107622173.html, r1200 r,12490,2018.0,35980,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101918763.html, r1200 ninet,9890,2018.0,19079,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108762017.html, r1200 r,13490,2018.0,6117,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69106844893.html, r1200,12950,2018.0,17096,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108462152.html, r1200 ninet,10950,2018.0,18000,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69106360480.html, r1200,26200,2018.0,10,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101625914.html, r1200 ninet,11490,2018.0,5045,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108569406.html, r1200 ninet,16990,2018.0,848,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101992141.html, crf 1000,10890,2018.0,24531,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-87102049544.html, crf 1000,11990,2018.0,7800,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-66101628089.html, crf 1000,11400,2018.0,10500,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-66101595304.html, crf 1000,10000,2018.0,11100,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-66101599903.html, crf 1000,11500,2018.0,32000,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-69107887611.html, crf africa twin,10890,2018.0,29790,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-87101920171.html, crf 1000,10490,2018.0,23322,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-69105056031.html, crf africa twin,12500,2018.0,3853,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-87102058478.html, crf 1000,12590,2018.0,9211,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-69104925190.html, crf africa twin,13800,2018.0,1130,honda,crf1000lafricatwin,998.0
https://www.lacentrale.fr/moto-occasion-annonce-87102045067.html, tiger 1050,11990,2019.0,3115,triumph,tiger1200xr,1215.0
https://www.lacentrale.fr/moto-occasion-annonce-66101615190.html, tiger 1200,16500,2019.0,1700,triumph,tiger1200xr,1215.0
https://www.lacentrale.fr/moto-occasion-annonce-69106967316.html, tiger 1200,16990,2019.0,8573,triumph,tiger1200xr,1215.0
https://www.lacentrale.fr/moto-occasion-annonce-87101706125.html, vff 750,3500,1985.0,55525,honda,vf750f,748.0
https://www.lacentrale.fr/moto-occasion-annonce-66101630064.html, vff 750,1550,1985.0,61500,honda,vf750f,748.0
https://www.lacentrale.fr/moto-occasion-annonce-87102058813.html, r1200 r,10490,2017.0,38219,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101597661.html, r1200 ninet,11990,2017.0,8400,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108518825.html, r1200 r,11900,2017.0,20414,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101568285.html, r1200 r,10500,2017.0,10500,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-66101622825.html, r1200 ninet,11700,2017.0,7800,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-69108352650.html, r1200 r,10500,2017.0,10950,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101162653.html, r1200 r,17490,2017.0,3055,bmw,r1200r,1170.0
https://www.lacentrale.fr/moto-occasion-annonce-87101054887.html, r1200 r,14450,2017.0,7500,bmw,r1200r,1170.0
