bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
NOIR ET ROUGE,Custom,2016,Yamaha,,950,,,200,XV 950 BOLT,29990,1730474,2021-06-22 11:25:52.694917,motovente,motovente-1730474,http://motovente.com/moto-occasion/annonce-moto-yamaha-1730474.html,XV 950 BOLT,non,11-03-2016
Vert,Routière,2011,Kawasaki,Essence 4t,1000,Oui,,21000,Z1000,9000,1358529,2021-06-22 11:25:52.723701,motovente,motovente-1358529,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1358529.html,2011,Fin en mars 2013,09-03-2011
Blanc,Roadster,2019,CF Moto,,650,,,3500,CFORCE 600,4299,1865122,2021-06-22 11:25:52.750767,motovente,motovente-1865122,http://motovente.com/moto-occasion/annonce-moto-cf_moto-1865122.html,CFORCE 600,non,16-02-2019
Bleu,Collection,1996,Kawasaki,Essence 4t,1100,,,36000,ZEPHYR,8995,1873875,2021-06-22 11:25:52.778287,motovente,motovente-1873875,http://motovente.com/moto-collection/annonce-moto-kawasaki-1873875.html,Zephyr1100,,12-06-1996
Noir,Scooter,2020,Piaggio,,350,,,4700,MP3 350 ABS/ASR,5990,1873992,2021-06-22 11:25:52.809184,motovente,motovente-1873992,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1873992.html,MP3 350 ABS/ASR,non,29-07-2020
Noir,Scooter,2010,Peugeot,,125,,,28166,SATELIS RS 125,2390,1860855,2021-06-22 11:25:52.835798,motovente,motovente-1860855,http://motovente.com/scooter-occasion/annonce-scooter-peugeot-1860855.html,SATELIS RS 125,non,04-05-2010
Argent,Roadster,2014,Suzuki,,600,,,13006,GSF 600 BANDIT,4590,1863756,2021-06-22 11:25:52.860676,motovente,motovente-1863756,http://motovente.com/moto-occasion/annonce-moto-suzuki-1863756.html,GSF 600 BANDIT,non,15-05-2014
Noir,Scooter,2017,Yamaha,,530,,,7276,XP 530 T-MAX,9500,1872916,2021-06-22 11:25:52.887308,motovente,motovente-1872916,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1872916.html,XP 530 T-MAX,non,11-07-2017
Noir,Roadster,2019,Suzuki,,650,Oui,,11545,SV 650 (47.5CV),5700,1871615,2021-06-22 11:25:52.930607,motovente,motovente-1871615,http://motovente.com/moto-occasion/annonce-moto-suzuki-1871615.html,SV 650 (47.5CV),non,04-07-2019
Gris,Scooter,2009,Yamaha,,250,,,44710,X-MAX,1800,1869845,2021-06-22 11:25:52.958837,motovente,motovente-1869845,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1869845.html,X-MAX 250,non,03-07-2009
Orange,Sportive,2017,KTM,,125,Oui,,20300,RC 125,3190,1872439,2021-06-22 11:25:52.984256,motovente,motovente-1872439,http://motovente.com/moto-occasion/annonce-moto-ktm-1872439.html,RC 125,non,09-09-2017
Argent,Routière,2013,Kawasaki,,1400,,,21650,GTR,10490,1873309,2021-06-22 11:25:53.013583,motovente,motovente-1873309,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873309.html,GTR 1400,non,10-09-2013
,Sportive,2019,Yamaha,,1000,,,10000,YZF R1,17990,1855977,2021-06-22 11:25:53.041112,motovente,motovente-1855977,http://motovente.com/moto-occasion/annonce-moto-yamaha-1855977.html,YZF 1000 R1,non,09-07-2019
Gris,Sportive,2019,Kawasaki,,998,Oui,,4050,ZX-10R,16990,1859888,2021-06-22 11:25:53.067665,motovente,motovente-1859888,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1859888.html,ZX-10R,non,04-09-2019
Noir,Scooter,2018,Yamaha,,530,Oui,,4758,TMAX 530 DX,11790,1834998,2021-06-22 11:25:53.096800,motovente,motovente-1834998,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1834998.html,TMAX 530 DX,non,14-03-2018
Noir,Trail,2019,KTM,,1090,Oui,,10500,ADVENTURE,10490,1846046,2021-06-22 11:25:53.125691,motovente,motovente-1846046,http://motovente.com/moto-occasion/annonce-moto-ktm-1846046.html,,non,13-12-2019
Blanc,Trail,2018,BMW,,850,,,23477,F 850 GS,12500,1872978,2021-06-22 11:25:53.164411,motovente,motovente-1872978,http://motovente.com/moto-occasion/annonce-moto-bmw-1872978.html,F 850 GS,non,05-06-2018
Bleu,Routière,2019,BMW,,1000,Oui,,4800,S1000XR 1000 BMW,16490,1874320,2021-06-22 11:25:53.196071,motovente,motovente-1874320,http://motovente.com/moto-occasion/annonce-moto-bmw-1874320.html,S1000XR 1000 BMW,non,20-06-2019
