source,step,status,time,details
moto-occasion,scrap pages,completed,2021-06-10 11:31:07.243261,"5.5 minutes elapsed, 142 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-10 11:31:07.280063,
moto-occasion,scrap annonces,completed,2021-06-10 11:37:08.704701,"6.016666666666667 minutes elapsed, 182 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-10 11:37:08.710434,
moto-selection,scrap pages,completed,2021-06-10 11:39:35.459868,"13.733333333333333 minutes elapsed, 238 pages scrapped"
moto-selection,scrap annonces,started,2021-06-10 11:39:35.506668,
moto-occasion,to dataframe,completed,2021-06-10 11:47:13.154087,10.066666666666666 minutes elapsed
moto-selection,scrap annonces,completed,2021-06-10 11:52:10.174737,"12.566666666666666 minutes elapsed, 252 annonces scrapped"
moto-selection,to dataframe,started,2021-06-10 11:52:10.179741,
moto-selection,to dataframe,error,2021-06-10 12:10:00.010443,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-11 18:26:25.520587,
moto-selection,scrap pages,started,2021-06-11 18:26:36.537803,
moto-occasion,scrap pages,completed,2021-06-11 18:31:52.894460,"5.45 minutes elapsed, 144 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-11 18:31:52.941894,
moto-occasion,scrap annonces,completed,2021-06-11 18:35:41.787122,"3.8 minutes elapsed, 111 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-11 18:35:41.792850,
moto-selection,scrap pages,completed,2021-06-11 18:39:57.067991,"13.333333333333334 minutes elapsed, 238 pages scrapped"
moto-selection,scrap annonces,started,2021-06-11 18:39:57.117603,
moto-occasion,to dataframe,completed,2021-06-11 18:41:08.978114,5.45 minutes elapsed
moto-selection,scrap annonces,completed,2021-06-11 18:49:53.849723,"9.933333333333334 minutes elapsed, 195 annonces scrapped"
moto-selection,to dataframe,started,2021-06-11 18:49:53.856540,
moto-selection,to dataframe,started,2021-06-11 19:24:51.773269,
moto-selection,to dataframe,error,2021-06-11 19:35:52.227016,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-12 10:03:20.317432,
moto-selection,scrap pages,started,2021-06-12 10:03:46.885247,
moto-occasion,scrap pages,completed,2021-06-12 10:08:10.441740,"4.833333333333333 minutes elapsed, 144 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-12 10:08:10.484439,
moto-occasion,scrap annonces,completed,2021-06-12 10:11:25.586439,"3.25 minutes elapsed, 105 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-12 10:11:25.591652,
moto-selection,scrap pages,completed,2021-06-12 10:16:31.992470,"12.75 minutes elapsed, 241 pages scrapped"
moto-selection,scrap annonces,started,2021-06-12 10:16:32.044228,
moto-occasion,to dataframe,completed,2021-06-12 10:16:35.190024,5.15 minutes elapsed
moto-selection,scrap annonces,completed,2021-06-12 10:26:58.271290,"10.433333333333334 minutes elapsed, 219 annonces scrapped"
moto-selection,to dataframe,started,2021-06-12 10:26:58.279029,
moto-selection,to dataframe,error,2021-06-12 10:39:56.102306,name 'page_number' is not defined
moto-selection,to dataframe,started,2021-06-12 10:39:56.125840,
moto-selection,to dataframe,error,2021-06-12 10:39:56.139636,name 'page_number' is not defined
moto-selection,scrap pages,started,2021-06-15 09:15:48.060020,
moto-occasion,scrap pages,started,2021-06-15 09:15:57.403092,
moto-occasion,scrap pages,completed,2021-06-15 09:21:09.588843,"5.2 minutes elapsed, 143 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-15 09:21:09.633035,
moto-occasion,scrap annonces,completed,2021-06-15 09:23:42.434799,"2.533333333333333 minutes elapsed, 71 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-15 09:23:42.439571,
moto-occasion,to dataframe,completed,2021-06-15 09:27:41.893516,3.9833333333333334 minutes elapsed
moto-selection,scrap pages,completed,2021-06-15 09:29:36.903054,"13.8 minutes elapsed, 240 pages scrapped"
moto-selection,scrap annonces,started,2021-06-15 09:29:36.954997,
moto-selection,scrap annonces,completed,2021-06-15 10:21:58.089200,"52.35 minutes elapsed, 315 annonces scrapped"
moto-selection,to dataframe,started,2021-06-15 10:21:58.096029,
moto-selection,to dataframe,started,2021-06-15 11:14:21.633192,
moto-selection,to dataframe,error,2021-06-15 11:42:00.275366,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-17 15:37:04.021578,
moto-selection,scrap pages,started,2021-06-17 15:37:24.998759,
moto-occasion,scrap pages,completed,2021-06-17 15:42:06.649752,"5.033333333333333 minutes elapsed, 143 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-17 15:42:06.683915,
