url,uniq_id,brand,bike_year,mileage,bike_type,price,model,engine_size,date_scrapped
https://www.motoplanete.com/occasion-moto/42358/DL-V-Strom/fiche.html,motoplanete-42358,suzuki,2019,2500.0,Trail,8800.0,dl v-strom 2019,650.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41729/401-VITPILEN-A2/fiche.html,motoplanete-41729,husqvarna,2018,3941.0,Roadster,4890.0,401 vitpilen a2 2018,401.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42390/ST1300A4/fiche.html,motoplanete-42390,honda,2004,37000.0,Routière & GT,6990.0,st1300a4 2004,1300.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/40488/B-KING/fiche.html,motoplanete-40488,suzuki,2008,13229.0,Roadster,9999.0,b-king 2008,1340.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/13994/THRUXTON-900/fiche.html,motoplanete-13994,triumph,2011,25888.0,Sportive,5700.0,thruxton 900 2011,900.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41619/Ninja-ZX/fiche.html,motoplanete-41619,kawasaki,2016,8000.0,Sportive,13490.0,ninja zx 2016,998.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42609/MT-09/fiche.html,motoplanete-42609,yamaha,2017,9500.0,Roadster,8299.0,mt-09 2017,850.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/37733/S-1000-R/fiche.html,motoplanete-37733,bmw,2017,12150.0,Roadster,12990.0,s 1000 r 2017,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41593/YZF-1000-R1-M/fiche.html,motoplanete-41593,yamaha,2020,3974.0,Sportive,24590.0,yzf 1000 r1 m 2020,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41507/CONTINENTAL-GT/fiche.html,motoplanete-41507,enfield,2015,6918.0,Routière & GT,4490.0,royal- continental gt 2015,535.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/42131/CHALLENGER/fiche.html,motoplanete-42131,indian,2020,8050.0,Custom,27500.0,challenger 2020,1700.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/34007/NTV-DEAUVILLE/fiche.html,motoplanete-34007,honda,2007,15500.0,Routière & GT,5490.0,ntv deauville 2007,700.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/38591/CBR-1000-SP/fiche.html,motoplanete-38591,honda,2014,29500.0,Sportive,9990.0,cbr 1000 sp 2014,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/31130/ICON/fiche.html,motoplanete-31130,ducati,2016,14740.0,Roadster,7490.0,icon 2016,800.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/32140/GLADIUS-650-ABS/fiche.html,motoplanete-32140,suzuki,2015,13000.0,Roadster,4490.0,gladius 650 abs 2015,650.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/32425/VERSYS-1000/fiche.html,motoplanete-32425,kawasaki,2020,1100.0,Trail,16590.0,versys 1000 2020,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41359/VZR-1800-INTRUDER/fiche.html,motoplanete-41359,suzuki,2009,1580.0,Custom,10490.0,vzr 1800 intruder 2009,1800.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/40537/GSX-S-750/fiche.html,motoplanete-40537,suzuki,2020,2300.0,Roadster,7990.0,gsx-s 750 2019,750.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41337/GTR-1400/fiche.html,motoplanete-41337,kawasaki,2011,59856.0,Routière & GT,7890.0,gtr 1400 2011,1400.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/40936/NT-DEAUVILLE-700/fiche.html,motoplanete-40936,honda,2012,12447.0,Routière & GT,6790.0,nt deauville 700 2012,700.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/27877/RSV4-1000-R/fiche.html,motoplanete-27877,aprilia,2010,29550.0,Sportive,7790.0,rsv4 1000 r 2010,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/32546/BULLET/fiche.html,motoplanete-32546,enfield,2003,9476.0,Routière & GT,2390.0,royal- bullet 2003,350.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/38785/YZF-1000-R1/fiche.html,motoplanete-38785,yamaha,2017,9600.0,Sportive,13900.0,yzf 1000 r1 2017,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41862/AFRICA-TWIN/fiche.html,motoplanete-41862,honda,2021,501.0,Trail,16599.0,africa-twin 2021,1100.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/37320/EC/fiche.html,motoplanete-37320,gas gas,2021,300.0,Enduro,8590.0,ec 2021,300.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/39177/VERSYS/fiche.html,motoplanete-39177,kawasaki,2021,1230.0,Trail,7790.0,versys 2021,650.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/31431/CBR1000RR-FIREBLADE-HRC-ABS/fiche.html,motoplanete-31431,honda,2020,340.0,Sportive,19390.0,cbr1000rr fireblade hrc abs 2020,1000.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/41168/FTR-1200-S-REPLICA/fiche.html,motoplanete-41168,indian,2020,673.0,Roadster,12900.0,ftr 1200 s replica 2020,1200.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/25940/790-ADVENTURE-R/fiche.html,motoplanete-25940,tm,2020,1080.0,Trail,11990.0,k 790 adventure r 2020,790.0,2021/06/04 - 22h19
https://www.motoplanete.com/occasion-moto/14770/K-1300-GT/fiche.html,motoplanete-14770,bmw,2010,84230.0,Routière & GT,7490.0,k 1300 gt 2010,1300.0,2021/06/04 - 22h19
